Segmentasi,Status,New/ Existing,Product,offer status,B/W (Mbps),OTC,MRC,GRAND TOTAL,Cluster
EDUCATION,Greenfield,NEW,SMARTLINK,LOST ,0.005,0.02727272727272727,0.015294117647058823,0.026052104208416835,4
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,ACTIVE,0.003,0.0,0.03529411764705882,0.028056112224448898,5
EDUCATION,Greenfield,NEW,INFYLINK MIX,LOST ,0.005,0.01818181818181818,0.015294117647058823,0.021042084168336674,4
FINANCIAL & BANKING,Greenfield,NEW,SMARTLINK,DISSENGGAGED,0.0005,0.0,0.01764705882352941,0.013026052104208416,5
EDUCATION,Greenfield,NEW,SMARTLINK,LOST ,0.01,0.01818181818181818,0.027058823529411764,0.031062124248496994,4
MANUFAKTUR,in Building,EXISTING,INFYLINK MIX,LOST ,0.002,0.0,0.06470588235294117,0.0531062124248497,0
EDUCATION,Greenfield,EXISTING,INFYLINK MIX,PO WON,0.0,0.03636363636363636,0.0013529411764705882,0.019188376753507014,1
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,DISSENGGAGED,0.005,0.00909090909090909,0.010588235294117647,0.012024048096192385,5
EDUCATION,Greenfield,NEW,SMARTLINK,LOST ,0.01,0.01818181818181818,0.027058823529411764,0.031062124248496994,4
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.01,0.01818181818181818,0.027058823529411764,0.031062124248496994,0
MANUFAKTUR,in Building,NEW,INFYLINK MIX,NEGOTIATION,0.02,0.05454545454545454,0.18235294117647058,0.18336673346693386,3
ISP & ICT,in Building,NEW,SMARTLINK,LOST ,0.0025,0.01818181818181818,0.015294117647058823,0.021042084168336674,5
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.01,0.01818181818181818,0.018823529411764704,0.02404809619238477,0
MANUFAKTUR,in Building,NEW,INFYLINK MIX,DISSENGGAGED,0.003,0.09090909090909091,0.1764705882352941,0.19839679358717435,3
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.005,0.01818181818181818,0.010588235294117647,0.017034068136272545,0
HOREKA JKT,in Building,NEW,SMARTLINK,LOST ,0.0025,0.01818181818181818,0.010588235294117647,0.017034068136272545,0
MANUFAKTUR,in Building,EXISTING,INFYLINK MIX,ACTIVE,0.004,0.05454545454545454,0.09411764705882353,0.10821643286573146,3
FINANCIAL & BANKING,in Building,EXISTING,INFYLINK MIX,LOST ,0.001,0.03636363636363636,0.07647058823529411,0.08316633266533066,2
FINANCIAL & BANKING,in Building,EXISTING,INFYLINK MIX,LOST ,0.015000000000000001,0.0,0.01764705882352941,0.013026052104208416,0
MANUFAKTUR,in Building,NEW,INFYLINK MIX,DISSENGGAGED,0.01,0.01818181818181818,0.027058823529411764,0.031062124248496994,0
MANUFAKTUR,in Building,NEW,INFYLINK MIX,DISSENGGAGED,0.01,0.09090909090909091,0.16470588235294117,0.18837675350701402,3
RETAIL CONSUMER GOODS,in Building,NEW,INFYLINK MIX,DISSENGGAGED,0.005,0.07272727272727272,0.10588235294117647,0.1282565130260521,3
RETAIL CONSUMER GOODS,in Building,NEW,INFYLINK MIX,DISSENGGAGED,0.005,0.07272727272727272,0.08235294117647059,0.10821643286573146,3
ISP & ICT,in Building,NEW,SMARTLINK,LOST ,0.01,0.02727272727272727,0.027058823529411764,0.03607214428857715,5
RETAIL CONSUMER GOODS,in Building,NEW,INFYLINK MIX,LOST ,0.001,0.03636363636363636,0.08823529411764705,0.09318637274549098,3
MANUFAKTUR,in Building,EXISTING,INFYLINK MIX,ACTIVE,0.001,0.03636363636363636,0.08823529411764705,0.09318637274549098,0
MANUFAKTUR,in Building,NEW,INFYLINK MIX,ACTIVE,0.001,0.03636363636363636,0.041176470588235294,0.0531062124248497,0
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.001,0.01818181818181818,0.010588235294117647,0.017034068136272545,0
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.007500000000000001,0.03636363636363636,0.024705882352941175,0.03907815631262525,0
ISP & ICT,in Building,NEW,SMARTLINK,DISSENGGAGED,0.01,0.02727272727272727,0.018823529411764704,0.02905811623246493,5
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,DISSENGGAGED,0.005,0.01818181818181818,0.015294117647058823,0.021042084168336674,5
MANUFAKTUR,in Building,NEW,INFYLINK MIX,LOST ,0.0005,0.03636363636363636,0.029411764705882353,0.04308617234468937,0
HEALTH FACILITY,in Building,NEW,SMARTLINK,DISSENGGAGED,0.005,0.01818181818181818,0.015294117647058823,0.021042084168336674,5
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,PO WON,0.001,0.05454545454545454,0.03529411764705882,0.058116232464929855,0
MANUFAKTUR,in Building,NEW,INFYLINK MIX,LOST ,0.006,0.05454545454545454,0.11176470588235293,0.12324649298597193,0
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,DISSENGGAGED,0.005,0.02727272727272727,0.010588235294117647,0.022044088176352707,5
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.001,0.07272727272727272,0.041176470588235294,0.07314629258517033,0
MANUFAKTUR,in Building,NEW,SMARTLINK,DISSENGGAGED,0.01,0.01818181818181818,0.027058823529411764,0.031062124248496994,0
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.01,0.01818181818181818,0.027058823529411764,0.031062124248496994,0
RETAIL CONSUMER GOODS,in Building,EXISTING,INFYLINK MIX,DISSENGGAGED,0.005,0.06363636363636363,0.08235294117647059,0.1032064128256513,3
HEALTH FACILITY,in Building,NEW,SMARTLINK,LOST ,0.004,0.03636363636363636,0.09411764705882353,0.09819639278557114,0
EDUCATION,in Building,NEW,INFYLINK MIX,LOST ,0.005,0.01818181818181818,0.03529411764705882,0.038076152304609215,0
EDUCATION,Greenfield,NEW,SMARTLINK,LOST ,0.005,0.01818181818181818,0.018823529411764704,0.02404809619238477,4
ISP & ICT,in Building,NEW,SMARTLINK,DISSENGGAGED,0.005,0.07272727272727272,0.08235294117647059,0.10821643286573146,5
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.005,0.01818181818181818,0.010588235294117647,0.017034068136272545,0
FINANCIAL & BANKING,in Building,NEW,INFYLINK MIX,DISSENGGAGED,0.001,0.045454545454545456,0.03529411764705882,0.0531062124248497,2
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.002,0.045454545454545456,0.058823529411764705,0.07314629258517033,0
RETAIL CONSUMER GOODS,in Building,NEW,INFYLINK MIX,LOST ,0.001,0.045454545454545456,0.03529411764705882,0.0531062124248497,3
MANUFAKTUR,in Building,NEW,INFYLINK MIX,LOST ,0.01,0.06363636363636363,0.09999999999999999,0.11823647294589178,0
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.005,0.09090909090909091,0.06470588235294117,0.1032064128256513,1
MANUFAKTUR,in Building,NEW,SMARTLINK,PO CANCELLED,0.01,0.02727272727272727,0.027058823529411764,0.03607214428857715,0
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.005,0.09090909090909091,0.09999999999999999,0.13326653306613226,0
MANUFAKTUR,in Building,NEW,INFYLINK MIX,PO WON,0.005,0.0,0.029411764705882353,0.02304609218436874,0
MANUFAKTUR,in Building,NEW,SMARTLINK,DISSENGGAGED,0.007500000000000001,0.02727272727272727,0.024705882352941175,0.03406813627254509,0
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.007500000000000001,0.045454545454545456,0.041176470588235294,0.058116232464929855,0
EDUCATION,Greenfield,NEW,INFYLINK MIX,LOST ,0.02,0.09090909090909091,0.23529411764705882,0.24849699398797592,1
FINANCIAL & BANKING,in Building,NEW,INFYLINK MIX,LOST ,0.02,0.01818181818181818,0.047058823529411764,0.04809619238476954,0
EDUCATION,Greenfield,NEW,INFYLINK MIX,DISSENGGAGED,0.01,0.045454545454545456,0.041176470588235294,0.058116232464929855,1
EDUCATION,Greenfield,NEW,INFYLINK MIX,LOST ,0.01,0.045454545454545456,0.03529411764705882,0.0531062124248497,4
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.01,0.02727272727272727,0.027058823529411764,0.03607214428857715,0
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.01,0.01818181818181818,0.018823529411764704,0.02404809619238477,0
EDUCATION,Greenfield,NEW,SMARTLINK,LOST ,0.002,0.02727272727272727,0.03529411764705882,0.04308617234468937,4
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.005,0.02727272727272727,0.01764705882352941,0.028056112224448898,0
ISP & ICT,in Building,NEW,SMARTLINK,PO WON,0.01,0.01818181818181818,0.018823529411764704,0.02404809619238477,5
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,DISSENGGAGED,0.005,0.05454545454545454,0.06470588235294117,0.08316633266533066,0
MANUFAKTUR,in Building,NEW,INFYLINK MIX,PROPOSAL,0.005,0.05454545454545454,0.058823529411764705,0.0781563126252505,2
ISP & ICT,in Building,NEW,INFYLINK MIX,ACTIVE,0.002,0.0,0.023529411764705882,0.018036072144288578,5
MANUFAKTUR,in Building,NEW,SMARTLINK,DISSENGGAGED,0.01,0.02727272727272727,0.027058823529411764,0.03607214428857715,0
ISP & ICT,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.029411764705882353,0.038076152304609215,5
MANUFAKTUR,in Building,EXISTING,SMARTLINK,PO WON,0.001,0.03636363636363636,0.03529411764705882,0.04809619238476954,0
EDUCATION,in Building,NEW,SMARTLINK,LOST ,0.005,0.02727272727272727,0.015294117647058823,0.026052104208416835,0
MANUFAKTUR,in Building,NEW,INFYLINK MIX,DISSENGGAGED,0.01,0.06363636363636363,0.09411764705882353,0.11322645290581163,3
HOREKA JKT,in Building,NEW,SMARTLINK,LOST ,0.005,0.06363636363636363,0.07058823529411765,0.09318637274549098,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.01,0.02727272727272727,0.018823529411764704,0.02905811623246493,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.01,0.02727272727272727,0.018823529411764704,0.02905811623246493,0
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,ACTIVE,0.0,0.03636363636363636,0.0,0.018036072144288578,5
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.0025,0.02727272727272727,0.007647058823529411,0.019539078156312627,0
ISP & ICT,in Building,NEW,SMARTLINK,LOST ,0.015000000000000001,0.09090909090909091,0.11764705882352941,0.14829659318637273,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,DISSENGGAGED,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,5
EDUCATION,Greenfield,NEW,INFYLINK MIX,LOST ,0.005,0.01818181818181818,0.015294117647058823,0.021042084168336674,4
ISP & ICT,in Building,NEW,SMARTLINK,ACTIVE,0.0,0.03636363636363636,0.0,0.018036072144288578,5
MANUFAKTUR,in Building,EXISTING,SMARTLINK,LOST ,0.0,0.03636363636363636,0.0013529411764705882,0.019188376753507014,0
ISP & ICT,in Building,NEW,SMARTLINK,NEGOTIATION,0.005,0.05454545454545454,0.052941176470588235,0.07314629258517033,5
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.025,0.05454545454545454,0.045294117647058825,0.06663326653306613,0
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.01,0.03636363636363636,0.018823529411764704,0.03406813627254509,0
MANUFAKTUR,in Building,NEW,INFYLINK MIX,LOST ,0.01,0.07272727272727272,0.018823529411764704,0.05410821643286573,0
ISP & ICT,in Building,NEW,SMARTLINK,LOST ,0.01,0.07272727272727272,0.058823529411764705,0.08817635270541081,0
MANUFAKTUR,in Building,NEW,SMARTLINK,DISSENGGAGED,0.01,0.07272727272727272,0.08823529411764705,0.11322645290581163,0
